Postcode,Frequency
P0A,2
P0G,7
P0H,8
P0N,6
P0M,10
R0A,4
P0R,2
R0C,5
P0P,8
P0W,2
R0G,1
R0H,4
P0X,2
R0M,1
T0G,1
T0E,76
T0C,2
S4A,1
T0A,6
R8A,1
E6A,6
T0M,41
T0K,10
T0J,4
L0P,10
L0N,1
L0K,3
L0J,63
L0H,4
L0G,7
L0E,8
L0C,22
L0B,138
L0A,12
V6T,1
P7A,10
V6E,1
T7E,3
S0J,3
L7J,2
T7S,1
J8P,2
L7G,1
V3N,1
E5P,5
P1A,1
J0A,4
L9Y,3
J0X,3
K7S,2
T8V,22
J9V,1
B0C,8
S0C,2
V5A,10
T8S,2
J9X,2
S0E,5
G7P,1
S6V,1
N0L,10
N0N,1
T9H,18
N0E,26
B3R,32
B3S,3
N0C,1
R1A,48
N0B,1
N0P,2
N0R,22
S7H,17
J8T,1
E5K,9
E5J,8
T1L,4
V4K,1
R9A,1
J8A,48
T1P,101
T1R,2
G4X,1
J8M,3
J8L,55
E5R,1
T4X,1
A2V,2
L0S,4
K9A,2
T4V,7
L0R,27
S0H,3
T4J,3
V3B,2
S0L,1
S0M,5
S0N,3
N7L,7
V3J,2
T0H,2
K9V,18
T4E,1
S0G,2
L4R,4
G1J,1
G1A,6
Y1A,5
K0A,5
J7K,1
K0E,11
K0H,11
K0J,1
K0K,9
K0L,6
K0M,72
E5L,5
R7N,1
V2G,6
S9V,4
V2K,12
V2J,3
V2M,2
E5H,9
V4G,1
V1K,1
E5E,5
J6A,2
J6E,2
B9A,4
B4C,1
B4R,2
B4B,1
A0J,1
V1B,10
A0H,1
B4A,4
A0L,16
V1M,4
A0B,5
A0C,2
V1A,1
B4H,14
A0E,1
A0A,23
E8C,1
L6R,1
C0A,24
C0B,1
E8K,3
A0G,2
S2V,31
V0T,1
P5N,1
J8G,8
V0S,102
V0R,2
V0X,28
V0E,20
S3N,7
V0A,1
V0C,9
V0B,12
V0M,99
V0N,1
V0H,26
V0K,13
V0J,2
E9A,2
E9G,1
X0C,1
V8A,22
T0B,3
V8C,3
V8B,2
X1A,3
J4G,3
J8N,1
